WH_ID,lon,lat,WH_SO,RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,my_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav,dist_m
S19S_0021,-87.79835,32.54069,6 ,323.820,99.069,683.490,5,3.18825,4.74,4734.62663915,332.264,546,230,21,32,7,6,175,202,162,1384,80,1446,1049,102,1050,-2,114,6,0,1,0,70,80,19,11,20,7,0,0,0,0,0,0,0,1,19,22,37,37,44,41,40,32,77,44,81,89,14,287,1144,0.042,895.308,3.870,55.960,0,4,750,1400,535,614,74,113,0.043949,37905.4,803, 40.7507677418
S19S_0022,-87.40811,32.96161,7 ,0.421,0.113,0.953,1,0.179513,5.29,5281.94707867,0.919282,559,0,158,124,43,40,171,204,171,1428,75,1428,1049,99,1049,4,109,4,1,5,1,100,100,0,0,0,0,0,0,0,0,0,0,10,10,19,19,32,32,48,48,40,40,80,41,80,0,0,264,264,0.001,0.001,0.033,0.033,0,0,9,0,0,0,37,37,0.043949,0.158817,803, 47.6525620244
S19S_0023,-102.44896,39.75841,4 ,0.010,0.000,0.272,3,0.169118,9.66,9671.39493059,0.311801,14,0,383,1221,16,34,101,262,93,428,70,399,366,59,343,-65,76,-67,6,26,7,0,0,15,50,60,37,6,5,0,0,0,0,64,2,18,21,34,38,47,41,15,19,29,8,28,0,0,895,558,0.005,1.104,0.121,0.392,0,0,68,0,137,68,30,28,0.055481,52.2801,951, 222.738152046
S19S_0024,-96.6227,34.44205,4 ,1.953,0.756,2.878,3,0.416338,10.10,10095.9681335,2.40693,209,0,79,318,10,24,161,241,159,1007,102,1001,853,91,847,-24,86,-24,0,1,0,0,0,30,31,49,52,0,0,0,0,0,0,0,0,27,28,45,46,28,27,17,16,67,29,67,100,87,1317,1250,0.117,1.364,3.523,4.286,0,0,202,200,85,67,75,69,0.046422,58.6822,809, 19.9395958035
S19S_0025,-97.78275,33.37853,3 ,0.241,0.088,0.391,2,0.198648,5.94,5944.7118036,0.395623,132,0,101,274,14,35,178,233,178,837,86,834,708,71,705,-43,74,-43,0,0,0,0,0,39,37,53,55,1,1,0,0,0,0,0,0,20,20,37,37,43,43,9,9,51,24,51,0,0,1485,1830,0.033,0.499,2.443,8.242,0,0,2464,1500,313,242,64,99,0.049515,27.2641,908, 212.548106484
S19S_0026,-105.54327,40.03489,1 ,0.102,0.036,0.351,1,0.138413,6.96,6966.3586424,0.441092,108,0,823,3409,157,402,-16,205,-16,762,36,762,526,86,526,13,129,13,51,99,51,100,100,0,0,20,20,0,0,1,1,16,16,22,22,10,10,34,34,57,57,65,65,85,32,85,0,0,6196,6195,0.004,0.004,0.117,0.117,0,0,507,500,68,68,45,45,0.055481,0.786075,951, 1972.79906055
S19S_0027,-105.91125,39.89064,1 ,0.361,0.109,1.188,1,0.181828,9.50,9495.61384347,1.09537,168,0,603,3323,179,260,-11,214,-11,708,31,708,514,82,514,2,140,2,55,95,55,100,100,0,0,13,13,0,0,0,0,13,13,100,100,10,10,35,35,55,55,74,74,80,37,80,0,0,2714,2715,0.002,0.002,0.028,0.028,0,0,63,100,0,0,30,30,0.055481,0.065611,951, 1824.01935499
S19S_0028,-111.507871,33.750675,4 ,0.244,0.042,0.867,2,0.263146,2.73,2731.85294326,0.857875,26,0,627,789,91,40,188,210,156,450,50,571,381,38,483,-72,103,-61,0,0,0,22,80,3,2,52,32,0,0,0,0,0,0,0,4,20,22,33,33,46,45,11,22,27,31,37,0,0,5471,6518,0.002,0.042,0.161,0.154,0,0,445,200,29,89,67,43,0.045307,2.16318,932, 15.0791745485
S19S_0029,-111.80126,40.78319,3 ,0.242,0.063,0.744,1,0.196017,11.24,11253.3768125,0.691815,220,0,541,1815,143,424,74,246,74,618,43,618,515,82,515,-41,154,-41,19,74,19,60,60,12,12,8,8,1,1,0,0,0,0,50,50,22,22,43,43,36,36,27,27,54,52,54,0,0,1911,1910,26.326,26.326,754.728,755.148,33,33,4370,4400,3924,3926,241,241,0.042655,1208.71,925, 75.1294538995
S19S_0030,-121.929131,45.792348,2 ,0.437,0.095,0.804,1,0.196746,4.16,4162.70905683,0.770433,1486,0,590,570,159,336,85,162,85,2437,404,2437,659,97,659,64,183,64,27,64,27,100,100,0,0,0,0,0,0,0,0,0,0,0,0,20,20,48,48,31,31,90,90,84,52,84,0,0,763,763,0.056,0.056,6.006,6.005,0,0,290,300,27,26,42,42,0.055867,4.65961,948, 155.94063523
