WH_ID,lon,lat,WH_SO,RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,my_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav,dist_m
S19S_0051,-147.50267,65.1531, ,0.242,0.129,0.470,1,0.119861,4.69,4704.65995971,0.662687,236,0,310,493,111,281,-49,396,-49,303,45,303,272,69,272,-41,182,-41,54,100,54,90,90,0,0,0,0,0,0,0,0,50,50,0,0,12,12,41,41,47,47,112,112,60,30,60,0,0,22,22,0.038,0.038,1.156,1.156,0,0,15,0,1,1,16,16,0.058023,2.34274,948, 507.831163799
S19S_0052,-74.69563,42.13187,2 ,2.006,0.923,7.205,2,0.600553,2.32,2315.50934798,5.61983,681,0,594,509,116,108,65,259,57,1088,47,1129,759,110,747,17,115,24,19,71,11,100,60,4,12,4,7,0,0,0,0,0,0,0,0,18,18,39,40,44,42,75,76,89,28,92,0,0,584,829,0.055,0.609,11.976,6.545,0,0,852,600,204,102,103,55,0.063747,29.618,952, 155.807837638
S19S_0053,-73.00222222,41.869567,1 ,0.220,0.139,0.446,1,0.141786,0.69,694.625248949,2.00145,887,0,620,260,51,0,82,262,82,1243,24,1243,804,112,804,23,122,23,22,81,22,100,100,1,1,1,1,0,0,0,0,0,0,0,0,6,6,33,33,61,61,70,70,89,30,89,0,0,194,194,0.680,0.680,86.677,86.673,0,0,3118,3100,885,885,251,251,0.071149,64.0662,955, 2044.93542389
S19S_0054,-77.0237,37.57261,5 ,48.614,21.453,101.427,4,1.57104,6.44,6439.74532676,59.9266,406,245,30,12,8,3,143,228,135,1104,41,1086,896,97,881,-9,107,-9,2,8,2,95,94,15,18,0,3,1,1,0,0,0,0,0,0,17,19,35,36,48,45,26,31,78,40,79,0,14,1115,856,0.295,117.476,10.835,33.766,0,1,621,1300,165,329,69,101,0.058068,7655.27,950, 77.2109346177
S19S_0055,-117.180863,46.732428,4 ,3.197,0.892,8.585,2,0.705442,0.64,636.635534673,6.48125,187,0,49,743,46,16,87,203,79,526,50,597,450,75,502,-46,172,-37,8,49,11,0,13,81,83,1,3,1,0,0,0,0,0,0,0,17,22,44,48,38,30,38,20,52,57,59,0,0,1,2927,1.918,50.231,2168.388,130.824,100,7,6233,2400,2161,585,438,199,0.055867,2433.12,948, 131.060065522
S19S_0056,128.9646,35.1632, ,0.402,0.126,1.013,1,0.180663,3.74,3745.63156545,1.29652,628,0,426,125,98,23,139,238,139,1452,227,1452,942,92,942,34,63,34,2,7,2,9,9,19,18,0,0,14,14,0,0,0,0,0,0,16,16,39,39,46,46,37,37,98,6,98,0,0,3171,3195,166.374,165.952,8167.526,8203.544,99,99,6300,6300,7061,7074,421,420,0.033742,5621.1,901, 153.23291389
S19S_0057,-81.718207,33.337475,2 ,0.635,0.358,1.149,2,0.240231,7.11,7105.31679663,0.994374,417,0,143,92,19,45,172,198,172,1186,58,1193,1002,94,1008,-17,100,-16,1,8,1,100,90,2,3,0,0,0,0,0,0,0,0,0,0,16,16,32,32,52,53,24,24,72,38,73,0,0,424,537,0.000,0.245,0.000,5.078,0,0,2969,2500,158,363,123,125,0.042583,18.8598,865, 50.6129755812
S19S_0058,35.6136003,32.89919667, ,10.935,1.343,33.101,3,1.03865,13.08,6580.62752258,22.6566,177,0,380,65,63,203,211,162,167,471,123,718,396,68,516,-68,158,-38,0,0,0,5,16,77,56,22,8,4,8,0,0,0,0,0,2,34,28,39,37,27,36,11,19,32,63,50,100,99,4948,7499,9.598,174.916,166.004,108.464,0,6,2358,2400,1093,896,192,199,0.031671,4212.52,899, 161.806202613
S19S_0059,-117.3915976,48.16874998,1 ,0.239,0.101,0.584,1,0.152503,4.31,4316.4404449,0.826914,361,0,371,934,108,196,65,232,65,630,62,630,514,90,514,-30,176,-30,37,97,37,94,94,0,0,1,1,0,0,0,0,0,0,0,0,6,6,40,40,54,54,92,92,64,67,64,0,0,406,406,0.014,0.014,0.687,0.687,0,0,481,500,0,0,23,23,0.055867,0.430145,948, 1630.43952123
S19S_0060,-119.4768203,46.2531882,7 ,0.062,0.005,0.234,2,0.162217,5.52,5530.88597463,0.246558,24,0,1021,263,73,62,111,220,107,209,27,224,185,32,197,-81,153,-79,1,8,2,53,16,45,60,9,7,34,26,0,0,0,0,0,0,16,16,38,37,46,47,17,17,20,25,22,0,0,837,748,0.294,0.867,17.348,10.139,0,0,1470,1400,246,256,150,106,0.055867,99.6699,948, 301.893220802
S19S_0061,-89.6407,43.1095,1 ,0.240,0.105,0.617,1,0.144244,3.48,3482.47468411,0.943391,308,0,221,316,45,30,75,308,75,820,75,820,693,107,693,-13,112,-13,18,82,18,74,74,32,32,5,5,1,1,0,0,0,0,9,9,18,18,44,44,38,38,36,36,78,31,78,100,100,5148,5148,1.147,1.147,46.660,46.658,0,0,3717,3700,811,811,320,320,0.050142,70.4327,945, 140.282734899
S19S_0062,-106.950417,38.544583,5 ,18.016,2.930,76.705,4,1.50254,4.08,4078.97722484,46.4461,201,231,70,2351,16,42,31,281,-3,309,24,564,268,39,456,-71,144,-26,25,100,47,100,87,7,2,44,19,22,3,0,0,0,9,0,21,13,11,33,35,54,55,20,58,29,20,65,0,16,448,2980,2.922,9.741,434.211,3.702,34,0,5198,200,1227,64,320,26,0.055481,449.898,951, 800.586235569
S19S_0063,-97.709399,30.250335,6 ,98.731,53.987,164.191,6,1.89367,7.86,7867.02824835,91.9757,193,3746,157,165,13,11,201,196,174,813,73,559,688,59,473,-45,81,-63,0,3,0,51,9,11,21,10,65,0,4,0,0,0,0,0,0,37,24,34,35,29,41,11,12,49,26,32,100,37,534,1190,77.855,1241.871,1911.477,12.972,96,1,6299,500,7615,222,369,61,0.049515,61859.3,908, 267.392429929
S19S_0064,-78.00803,40.61043,4 ,2.428,0.957,7.824,2,0.485342,7.81,7818.6965997,5.89309,495,0,354,289,64,13,98,252,95,975,40,986,772,106,769,-5,117,-3,5,28,8,85,91,26,22,2,2,0,0,0,0,0,0,0,0,19,19,41,42,40,40,38,39,81,41,82,51,36,2600,1589,0.430,1.220,11.971,8.032,0,0,697,700,170,195,85,69,0.053263,84.0968,943, 1.46842824519
S19S_0065,-122.888357,38.509458,5 ,70.257,10.726,183.010,4,2.03786,2.57,2565.22272093,101.401,695,337,199,47,53,8,139,110,132,1035,227,1126,630,88,634,-19,182,-12,1,6,3,100,89,29,10,14,24,19,6,0,0,0,0,0,2,18,20,37,38,44,42,57,41,59,86,60,0,0,733,2648,0.029,72.180,9.878,26.642,0,1,1289,700,654,386,95,76,0.055768,3929.94,951, 621.056656869
S19S_0066,-106.643178,35.19845,7 ,67.129,16.792,168.115,6,1.99947,2.26,2257.11458734,94.1168,20,1571,25,1525,4,13,135,239,52,221,31,446,189,18,366,-85,92,-54,0,3,21,36,59,2,6,3,38,3,7,0,0,0,1,0,14,19,14,35,33,46,53,11,37,15,9,41,0,13,205,1285,1.321,440.349,363.601,9.946,80,1,6300,300,7178,165,348,48,0.043737,20547.7,889, 290.636533414
S19S_0067,-85.35412,42.3921,3 ,0.679,0.416,1.270,2,0.302339,9.69,9693.92900584,1.10702,257,0,99,275,21,21,88,277,87,907,58,906,736,108,734,-8,127,-8,12,68,14,72,50,16,32,6,7,4,3,0,0,0,0,0,0,18,18,45,45,36,37,32,31,81,41,82,0,0,922,2009,0.588,2.162,27.266,27.169,0,0,2079,1500,584,356,152,109,0.045537,98.2738,944, 31.7814493364
S19S_0068,-122.258091,44.207316,3 ,2.651,0.662,4.519,2,0.441918,7.12,7129.61639605,3.46334,1363,0,679,736,178,212,84,165,71,1892,295,1863,690,102,658,48,182,50,22,53,27,100,100,0,0,2,1,0,0,0,0,0,0,95,97,11,10,40,40,50,50,107,106,80,60,81,0,0,1052,1002,0.004,0.007,0.237,0.115,0,0,11,0,106,87,14,14,0.047639,0.097942,928, 81.9084864942
S19S_0069,-123.735151,39.362202,1 ,0.309,0.027,0.847,1,0.19709,3.41,3414.80191105,0.992962,878,0,420,204,125,132,112,82,112,1167,209,1167,614,71,614,14,182,14,12,33,12,100,100,0,0,0,0,0,0,0,0,0,0,0,0,15,15,31,31,54,54,84,84,68,74,68,0,0,119,119,0.004,0.004,0.357,0.357,0,0,6,0,313,313,49,49,0.055768,0.506405,951, 22.9419418676
S19S_0070,-123.752414,39.339914,1 ,0.186,0.016,0.512,1,0.168109,1.59,1587.13222836,1.1239,863,0,435,179,85,43,111,79,111,1162,208,1162,611,70,611,14,182,14,12,31,12,100,100,0,0,2,2,0,0,0,0,0,0,10,10,14,14,31,31,55,55,84,84,69,74,69,0,0,87,87,0.068,0.068,9.990,9.991,0,0,234,200,466,465,44,44,0.055768,1.32186,951, 0.00160728214609
S19S_0071,-105.458575,40.012917,1 ,0.349,0.114,1.151,2,0.260894,9.89,3173.30417985,1.03276,92,0,559,2529,98,267,38,208,12,487,33,621,420,62,487,-48,100,-20,27,72,40,100,100,0,0,7,11,0,0,0,0,0,5,0,17,9,9,28,31,63,60,66,67,46,20,66,0,0,452,2264,0.703,0.754,20.428,6.973,0,0,1083,700,208,149,90,65,0.055481,23.5507,951, 2317.70438415
S19S_0072,-71.1848201,42.5235645,1 ,0.179,0.102,0.372,1,0.151134,0.69,694.695476683,1.93188,796,0,128,49,20,0,92,257,92,1114,28,1114,757,103,757,13,130,13,12,55,12,40,40,0,0,0,0,0,0,0,0,0,0,0,0,4,4,26,26,70,70,68,68,84,39,84,0,0,383,383,4.628,4.628,671.113,671.137,92,92,6300,6300,7981,7981,337,337,0.067299,330.339,954, 1779.17271376
S19S_0073,-70.9164986,42.7688065,1 ,1.982,1.127,4.171,2,0.361289,12.93,12940.8745064,2.8959,794,0,66,24,13,22,91,259,91,1145,41,1142,749,103,750,16,132,16,14,58,16,100,100,10,6,2,2,1,1,0,0,0,0,11,7,6,6,32,30,62,64,85,83,85,39,85,0,0,266,270,7.117,13.868,158.890,179.954,0,0,4323,4700,3405,2958,302,310,0.067299,850.477,954, 1628.8068729
S19S_0074,-119.272998,46.376172,8 ,3512.290,876.474,9102.739,7,7.80822,6.12,6124.34212425,3398.66,23,627,385,146,28,3,118,229,38,189,24,624,166,29,441,-83,148,-19,1,10,38,30,67,43,7,12,9,6,2,0,1,0,3,3,12,12,12,31,39,57,48,13,62,18,23,64,0,18,487,1903,0.059,1876.080,3.373,7.938,0,0,3297,300,308,91,151,35,0.055867,94978.4,948, 649.315387921
S19S_0075,-119.465555,46.694742,8 ,3512.441,875.353,9097.761,7,7.80147,1.76,1761.72026429,3394,51,627,63,120,7,6,118,239,38,177,24,627,157,28,443,-84,151,-19,4,32,39,58,67,2,7,28,9,0,2,0,1,0,3,1,12,14,12,34,39,52,48,11,62,16,22,64,0,18,84,1914,0.000,1862.892,0.003,7.938,0,0,755,300,125,90,61,34,0.055867,94034,948, 261.883304575
S19S_0076,-119.462605,46.679191,8 ,3512.542,875.560,9098.128,7,7.79044,3.39,3396.14952271,3399.23,49,627,166,130,12,3,117,239,38,178,23,626,157,28,442,-84,150,-19,3,30,39,25,67,2,7,28,9,0,2,0,1,0,3,17,12,13,12,32,39,55,48,11,62,16,22,64,0,18,190,1913,0.000,1862.940,0.003,7.934,0,0,646,300,95,90,70,34,0.055867,94035.2,948, 541.141824005
S19S_0077,-105.223141,40.66403,6 ,2.766,0.754,10.295,4,0.715861,6.17,6168.56587654,7.68071,74,362,773,1766,130,83,79,231,32,375,53,481,325,50,405,-66,77,-43,7,39,29,100,78,11,2,28,30,1,0,0,0,0,2,8,24,15,11,33,32,53,57,37,54,30,10,50,7,0,2104,908,0.073,3.276,3.873,1.206,0,0,668,100,200,98,61,34,0.055481,176.872,951, 64.2954309651
S19S_0078,-123.5855556,43.43138889,2 ,2.414,0.364,5.535,3,0.542682,5.13,5139.34207033,4.32242,1030,0,442,211,126,70,116,136,108,1307,226,1441,640,90,647,18,186,29,19,57,20,100,100,0,0,5,3,0,0,0,0,0,0,0,0,16,16,36,37,48,48,60,62,71,73,74,0,0,1644,1044,0.003,0.003,0.428,0.054,0,0,162,0,198,172,39,29,0.047639,0.022805,928, 447.584661674
S19S_0079,-123.5721,43.6369,6 ,259.283,32.063,517.927,6,2.84801,9.03,9045.44469724,259.03,1103,10,411,117,81,11,119,136,93,1411,244,1254,649,92,630,25,186,15,15,49,20,54,88,11,4,70,24,0,2,0,0,0,0,0,3,18,16,38,37,44,47,48,59,72,72,72,0,2,1775,1704,0.259,101.046,10.613,9.939,0,1,459,300,298,146,91,46,0.047639,5065.83,928, 150.431618363
S19S_0080,-106.681374,34.950811,7 ,67.856,17.060,174.520,6,2.01581,7.76,7756.8671787,97.4214,14,1554,258,1527,10,6,132,237,54,221,31,441,187,18,363,-85,93,-54,1,6,20,35,58,13,6,49,38,19,6,0,0,0,1,0,14,19,14,36,33,45,53,11,36,15,10,40,0,13,645,1268,1.322,1045.942,60.092,23.027,7,2,3235,400,1353,265,258,53,0.043737,49933,889, 11.3426946875
S19S_0081,-76.9261495,38.960004,4 ,3.157,1.842,6.025,3,0.516599,4.79,4786.29423595,4.77557,483,0,123,31,20,36,129,244,127,1057,35,1074,847,100,850,-7,112,-4,2,15,2,0,24,0,4,0,2,0,0,0,0,0,0,8,4,15,17,34,36,51,47,25,26,80,39,81,0,0,190,1776,41.594,234.249,2600.230,1183.483,100,76,6300,6200,9830,5977,417,367,0.064307,15500.4,953, 81.0983622373
S19S_0082,-76.5465418,38.8748619,3 ,0.455,0.264,0.833,1,0.171086,5.72,5724.77387299,0.897902,503,0,96,31,16,35,131,239,131,1072,40,1072,844,98,844,-2,110,-2,3,22,3,100,100,13,14,1,1,0,0,0,0,0,0,11,11,18,18,35,35,46,46,34,34,82,36,82,0,0,1272,1286,1.645,1.641,57.396,57.782,0,0,3032,3000,2822,2794,254,254,0.064307,111.949,953, 708.606575678
S19S_0083,-88.3227,40.31083,5 ,7.164,2.294,25.724,4,1.03364,2.09,2091.51073944,17.4679,338,0,2,217,3,5,106,284,105,932,64,931,786,111,785,-12,112,-12,7,28,8,0,2,92,89,1,1,1,1,0,0,0,0,1,0,27,27,52,54,20,19,25,25,78,38,78,0,0,8200,8379,0.025,7.809,10.092,11.890,0,0,1927,1100,268,377,231,109,0.055147,441.764,950, 549.842072654
S19S_0084,-71.722778,43.954722,1 ,0.856,0.493,2.080,1,0.252647,9.85,9860.56229911,1.56487,787,0,405,582,111,361,44,275,44,1206,38,1206,719,112,719,31,116,31,29,85,29,100,100,0,0,1,1,0,0,0,0,0,0,91,91,8,8,36,36,56,56,101,101,92,22,92,0,0,227,227,0.094,0.094,2.816,2.816,0,0,269,300,326,326,48,48,0.057322,1.2309,951, 1261.81558334
S19S_0085,-115.9902503,43.6479639,5 ,6.484,1.431,17.313,3,0.826142,6.66,6657.65965472,12.3797,157,0,718,1196,153,62,78,240,50,511,66,594,435,75,500,-52,175,-40,17,78,36,42,58,1,0,27,5,0,0,0,0,0,0,0,0,17,17,39,41,44,42,28,40,47,60,58,0,0,2751,1385,0.605,3.058,24.197,2.961,0,0,755,300,153,47,63,26,0.041841,118.408,884, 54.204282993
S19S_0086,-111.8064,40.7797,3 ,0.242,0.063,0.744,1,0.196017,11.24,11253.3768125,0.691815,220,0,541,1815,143,424,74,246,74,618,43,618,515,82,515,-41,154,-41,19,74,19,60,60,12,12,8,8,1,1,0,0,0,0,50,50,22,22,43,43,36,36,27,27,54,52,54,0,0,1911,1910,26.326,26.326,754.728,755.148,33,33,4370,4400,3924,3926,241,241,0.042655,1208.71,925, 94.2056124782
S19S_0087,-116.7743431,43.1233451,2 ,0.049,0.003,0.274,1,0.120973,1.77,1773.67218129,0.772316,106,0,829,1868,104,653,45,219,45,448,40,448,383,63,383,-54,164,-54,31,84,31,99,99,2,2,94,94,0,0,0,0,0,0,0,0,20,20,44,44,36,36,32,32,44,45,44,0,0,1583,1583,0.000,0.000,0.002,0.002,0,0,0,0,0,0,20,20,0.041841,0.001502,884, 47.599972297
S19S_0089,-80.44539,37.21008,1 ,0.431,0.192,1.137,1,0.218843,8.90,8899.41869344,0.994382,465,0,255,635,33,49,111,220,111,989,31,989,834,99,834,-14,106,-14,3,13,3,59,59,26,26,21,21,0,0,0,0,0,0,0,0,23,23,37,37,40,40,36,36,77,42,77,80,80,2067,2067,26.258,26.258,861.629,861.451,35,35,5284,5300,2254,2253,297,297,0.058068,1856.19,950, 90.3574809353
S19S_0090,-75.930606,37.291383,1 ,0.176,0.096,0.322,1,0.120339,0.55,553.53855815,2.71091,457,0,15,9,6,0,147,220,147,1058,36,1058,826,85,826,-2,110,-2,1,4,1,40,41,100,100,0,0,10,10,0,0,0,0,0,0,18,18,33,33,49,48,33,33,81,36,81,0,0,1894,1915,0.376,0.374,25.496,25.809,0,0,1007,1000,550,543,122,123,0.058068,32.7047,950, 5853.20173136
S19S_0091,-144.837472,60.520868, ,0.177,0.024,0.624,1,0.224262,2.17,2173.20965312,0.805069,2403,0,22,16,33,24,35,185,35,1916,142,1916,517,99,517,73,90,73,54,100,54,0,0,0,0,0,0,0,0,0,0,0,0,47,47,12,12,40,38,48,48,81,81,100,1,100,0,0,559,559,0.000,0.000,0.000,0.000,0,0,0,0,434,433,49,49,0.058023,0,948, 949.323243494
S19S_0092,-1.704013,52.419447, ,1.400,0.596,2.175,2,0.343692,3.48,3486.14215211,1.92586,392,0,43,104,12,17,92,128,91,660,20,674,510,80,513,-2,143,1,9,33,8,0,0,54,49,13,14,0,0,0,0,0,0,1,2,19,19,36,36,45,45,32,36,81,39,82,0,0,264,163,2.679,75.629,237.318,671.963,9,32,4606,4900,2279,3249,402,383,0.032896,3211.53,880, 1269.97525389
S19S_0093,-2.304833,52.800556, ,0.261,0.122,0.401,1,0.127804,2.52,2525.49778377,0.755159,505,0,84,99,16,35,91,127,91,713,23,713,509,80,509,10,137,10,12,44,12,0,0,25,25,43,43,3,3,0,0,0,0,2,2,18,18,35,35,47,47,40,40,85,34,85,0,0,221,221,0.677,0.677,41.292,41.290,0,0,1598,1600,445,445,199,199,0.032896,23.3739,894, 1191.09112407
S19S_0094,-65.7852826,18.2754452, ,0.167,0.068,0.297,1,0.156552,2.06,2056.28432734,0.550971,824,0,277,667,104,1384,209,35,209,3013,188,3013,1353,49,1353,55,51,55,0,0,0,10,10,6,6,19,19,1,1,0,0,0,0,95,95,28,28,29,29,43,43,42,42,100,0,100,0,0,876,876,0.111,0.111,18.766,18.766,0,0,1048,1000,405,405,163,163,0.034887,0,832, 818.347655331
S19S_0096,7.805425,45.2473368, ,0.198,0.112,0.373,1,0.166486,3.91,3909.06805323,0.550128,701,0,11,236,7,41,120,211,120,846,68,846,712,105,712,-8,130,-8,2,15,2,0,0,73,73,4,4,45,45,0,0,0,0,0,0,20,20,41,41,39,39,22,22,81,41,81,0,0,1039,1038,1.326,1.326,148.449,148.439,4,4,2876,2900,1141,1141,294,294,0.03664,55.9574,894, 64.9501149975
S19S_0097,-111.8865,41.720847,5 ,5.563,1.166,23.128,4,0.93274,4.62,4624.25528412,15.9838,136,0,37,1354,3,22,89,272,34,464,33,497,397,65,424,-58,152,-45,18,84,40,26,89,38,9,3,16,51,2,0,0,0,0,0,21,21,22,41,42,38,36,25,32,40,38,51,100,62,238,1658,4.649,41.306,299.058,29.680,23,3,5253,500,2635,302,320,46,0.042655,2559.59,925, 210.280829788
S19S_0098,-111.580533,41.950204,3 ,0.217,0.038,1.063,2,0.21507,6.93,6933.16609206,1.06883,81,0,794,2441,130,335,20,233,16,518,21,537,441,74,456,-38,157,-34,50,100,53,100,96,8,6,16,19,0,0,0,0,0,0,33,36,22,21,42,41,36,38,34,34,57,45,60,100,100,1564,1667,0.000,0.000,0.000,0.005,0,0,272,100,70,28,17,21,0.042588,0.023142,922, 59.5904904427
S19S_0099,-84.7119066,39.2385932,7 ,122.403,56.057,391.445,5,2.62123,7.60,7598.66899371,201.742,429,43,301,195,40,11,117,259,104,1054,48,971,839,111,793,-6,116,-8,2,16,10,85,5,14,61,3,3,1,1,0,0,0,0,2,0,23,24,42,49,35,27,37,25,80,42,80,100,73,4761,5099,1.387,1331.516,73.109,135.141,5,10,4064,2800,1249,1245,342,232,0.047436,59623.4,925, 115.053090242
S19S_0100,-106.950961,38.92352,2 ,0.834,0.151,3.385,2,0.329494,12.47,12473.784932,2.50489,207,0,489,3083,157,123,-2,239,-10,571,26,624,470,74,483,-27,155,-13,49,100,55,97,93,1,1,23,24,1,0,0,0,7,17,10,44,13,13,39,38,48,49,47,49,65,41,72,0,0,3098,6689,0.150,0.180,2.720,1.433,0,0,566,300,110,93,30,29,0.055481,9.64689,951, 66.9242171113
