Sample_ID,Sample_Longitude,Sample_Latitude,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Mean_Temp_Deg_C,pH,Water_Depth_cm,Canopy_Cover,Macrophyte_Coverage,Algal_Mat_Coverage,AI,AI_Mod,DBE,DBE_O,GFE,NOSC,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd,n_chems,skew_lamO20,skew_lamO2,perc_AminoSugar,perc_Carb,perc_ConHC,perc_Lignin,perc_Lipid,perc_Other,perc_Protein,perc_Tannin,perc_UnsatHC,del_15N_permil,del_13C_permil,NPOC_INC_mg_per_L_as_C,NPOC_Field_mg_per_L_as_C,Percent_Fine_Sand,Percent_Med_Sand,Percent_Coarse_Sand,Percent_Tot_Sand,Percent_Clay,Percent_Silt,Total_Bacteria_cells_per_gram,Total_Photorophs_cells_per_gram,Total_Heterotrophs_cells_per_gram,C_percent,N_percent,Intermittent_or_Perennial_-1hot-_Intermittent,Intermittent_or_Perennial_-1hot-_Perennial,General_Vegetation_-1hot-_Broadleaf deciduous tree,General_Vegetation_-1hot-_Broadleaf deciduous tree. Crop,General_Vegetation_-1hot-_Broadleaf deciduous tree. Grass,General_Vegetation_-1hot-_Broadleaf deciduous tree. Shrub,General_Vegetation_-1hot-_Broadleaf evergreen tree,General_Vegetation_-1hot-_Broadleaf evergreen tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Grass,General_Vegetation_-1hot-_Needleleaf deciduous tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Needleleaf deciduous tree. Grass,General_Vegetation_-1hot-_Needleleaf evergreen tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf evergreen tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Grass,General_Vegetation_-1hot-_Needleleaf evergreen tree. Shrub,General_Vegetation_-1hot-_Shrub,General_Vegetation_-1hot-_Shrub. Grass,Hydrogeomorphology_-1hot-_Multi-channel,Hydrogeomorphology_-1hot-_Single-channel meandering,Hydrogeomorphology_-1hot-_Single-channel straight,"River_Gradient_-1hot-_Relatively flat/gentle gradient (e.g., valleys)","River_Gradient_-1hot-_Relatively steep gradient (e.g., mountainous or hilly terrain)",MiniDot_Sediment_-1hot-_Bedrock (primarily),MiniDot_Sediment_-1hot-_Gravel/cobble (>2mm),MiniDot_Sediment_-1hot-_Sand,MiniDot_Sediment_-1hot-_Silt/mud (<0.0625mm),Depositional_Type_-1hot-_Downstream from obstacles,Depositional_Type_-1hot-_Downstream of small tributary,Depositional_Type_-1hot-_Inside bend of a stream,Depositional_Type_-1hot-_Marsh,Depositional_Type_-1hot-_Pool lip,Depositional_Type_-1hot-_Riffle,Depositional_Type_-1hot-_Shallow waters near the shore,Depositional_Type_-1hot-_Upstream of weir barrier deposition,Depositional_Type_-1hot-_run edge,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment
S19S_0006-D,-76.717163,39.311369,NaN,NaN,25.7,7.5,6.0,3.0,1.0,2.0,0.08614783023321956,0.18754217611528248,6.757299962078119,-0.7061054228289723,73.99408398496512,-0.4804941749078499,73.99408398482956,-145.09483643678865,0.058615945709668237,0.0518313077608875,1419.0337883959046,-2719.7571179860947,2637.0,1.9033589855968824,1.5640453277303288,0.08229048160788775,0.03640500568828214,0.08608266970041714,0.3124762988244217,0.10200985968904058,0.016685627607129314,0.28403488813045125,0.05043610163064088,0.02957906712172924,1.77,-12.09,4.27,5.96,10.7,15.9,66.5,93.1,3.8,3.1,887000000.0,12900000.0,874000000.0,0.35,0.08,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1575.97
S19S_0006-M,-76.717316,39.31162,NaN,NaN,25.7,7.5,10.0,1.0,1.0,2.0,0.08431751496053236,0.1708813557163837,6.645250114731528,-0.6865534648921524,76.65073039629141,-0.5737098384580083,76.65073039617404,-146.3263697757032,0.05491398648961611,0.048795813709819315,1487.8295548416706,-2790.568811055908,2179.0,1.7022174522078628,1.5901693676709203,0.08214777420835245,0.03304268012849931,0.058742542450665444,0.2918770078017439,0.1101422670949977,0.013767783386874713,0.31987150068838915,0.04222120238641579,0.048187241854061494,6.34,-15.98,4.54,5.27,7.8,7.4,75.9,91.1,8.9,0.0,1070000000.0,5350000.0,1070000000.0,0.96,0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-3.28
S19S_0006-U,-76.717476,39.311813,NaN,NaN,25.7,7.5,17.0,1.0,1.0,2.0,0.07363384905225019,0.1750773167234935,6.5137299771167045,-1.1132723112128147,76.07242989001448,-0.5534185926304347,76.07242988991122,-146.06368380156076,0.05550857787559487,0.04926144366433393,1471.3726544622425,-2773.3498728302143,2622.0,1.8395447217234124,1.7404126771557713,0.06559877955758962,0.028604118993135013,0.06292906178489703,0.31960335621662855,0.12280701754385964,0.009153318077803204,0.30854309687261633,0.05491990846681922,0.02784134248665141,6.68,-16.7,5.62,9.24,15.6,56.2,18.6,90.4,9.6,0.0,1320000000.0,37600000.0,1280000000.0,0.86,0.14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-47.48
S19S_0007-D,-119.195598,37.05255,NaN,NaN,11.2,6.5,4.0,4.0,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32,-27.68,15.08,69.56,20.1,23.0,45.9,89.0,11.0,0.0,1680000000.0,86600000.0,1590000000.0,1.17,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-10.36
S19S_0007-U,-119.195359,37.05229,NaN,NaN,11.2,6.5,3.0,4.0,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.93,-27.77,16.49,NaN,22.2,31.4,37.5,91.1,8.9,0.0,5740000000.0,129000000.0,5610000000.0,1.32,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-16.41
S19S_0007-U,-119.195359,37.05229,NaN,NaN,11.2,6.5,3.0,4.0,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.93,-27.77,21.02,NaN,22.2,31.4,37.5,91.1,8.9,0.0,5740000000.0,129000000.0,5610000000.0,1.32,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-16.41
S19S_0008-D,-119.027785,36.961112,4.62,41.1,12.6,6.5,12.0,1.0,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.06,-25.88,18.12,21.39,7.6,14.2,74.2,96.0,4.0,0.0,3710000000.0,47200000.0,3660000000.0,0.27,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-7.46
S19S_0008-D,-119.027785,36.961112,4.62,41.1,12.6,6.5,12.0,1.0,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.06,-25.88,18.12,21.39,7.6,14.2,74.2,96.0,4.0,0.0,3710000000.0,47200000.0,3660000000.0,0.27,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-7.46
S19S_0008-M,-119.028281,36.961369,4.62,41.1,12.6,6.5,22.0,2.0,2.0,1.0,0.05670562140854573,0.13932584123388303,5.756371814092954,-1.5599700149925038,79.33571907738381,-0.667919967631934,79.33571907735326,-147.86819581812205,0.053059892859106374,0.0470950996152545,1490.0424287856072,-2743.0283391707017,1334.0,2.131393773713884,1.9217955570793777,0.06521739130434782,0.019490254872563718,0.046476761619190406,0.2646176911544228,0.16491754122938532,0.022488755622188907,0.3553223388305847,0.047976011994003,0.013493253373313344,3.73,-28.99,12.96,30.38,6.9,9.5,78.5,94.9,5.1,0.0,334000000.0,55700000.0,278000000.0,0.28,0.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-10.64
S19S_0008-U,-119.028254,36.961273,4.62,41.1,12.6,6.5,6.0,2.0,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,-26.72,37.33,95.44,9.8,23.5,60.2,93.5,6.5,0.0,262000000.0,62200000.0,199000000.0,0.46,0.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-15.32
S19S_0009-D,-108.3983,42.9877,NaN,NaN,25.6,8.0,13.0,1.0,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,-21.22,24.87,NaN,16.6,48.5,22.1,87.2,12.7,0.1,3730000000.0,87700000.0,3640000000.0,0.6,0.08,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-37.43
S19S_0009-M,-108.3983,42.9876,NaN,NaN,25.6,8.0,8.0,1.0,1.0,2.0,0.07994554854316413,0.16475560929862912,7.047795479807336,-0.9929603556872916,76.47492977945275,-0.5675413957673212,76.47492977937513,-146.36169157261418,0.05242259247135493,0.04647363642100841,1619.4830307521304,-3031.594353149593,2699.0,2.065377954264544,1.9746437294407528,0.08632826972952945,0.036680251945164874,0.0570581696924787,0.2686180066691367,0.1081882178584661,0.017413856984068173,0.32901074472026676,0.04853649499814746,0.04816598740274176,-0.77,-23.1,8.79,9.27,13.8,40.6,37.3,91.7,8.3,0.0,NaN,NaN,NaN,0.36,0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-35.0
S19S_0009-U,-108.3982,42.9875,NaN,NaN,25.6,8.0,6.0,1.0,1.0,2.0,0.07684673137504669,0.1700162243081808,7.098991408292865,-1.1202838998879343,75.58024382227829,-0.5361489060399701,75.58024382223822,-146.1306941267637,0.05303244405062156,0.04694921164567661,1566.6385506163615,-2967.398814615754,2677.0,2.036746573426256,1.911342190521935,0.08516996638027644,0.037728800896525964,0.05976839745984311,0.2831527829660067,0.10310048561822936,0.011953679491968622,0.3051923795293239,0.0672394471423235,0.04669406051550243,3.54,-20.6,12.14,11.85,22.1,46.2,18.6,86.9,11.2,1.9,3740000000.0,153000000.0,3590000000.0,0.51,0.11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-22.83
S19S_0010-D,-81.840062,31.667875,NaN,NaN,30.0,6.7,30.0,1.0,1.0,2.0,0.07793665854102975,0.1633933482614642,6.915526950925181,-1.1118262268704746,77.33647912933186,-0.5977711975172969,77.33647912934981,-146.92017310630905,0.05079426544054116,0.04511995076324102,1581.739863234111,-2967.6143140464415,2486.0,1.8364822165643673,1.7165752656499134,0.07683024939662107,0.027353177795655673,0.06234915526950925,0.25301689460981497,0.10981496379726469,0.02172164119066774,0.3475462590506838,0.051890587288817375,0.04947707160096541,2.46,-29.24,7.1,10.82,3.3,4.8,88.8,96.9,3.1,0.0,1470000000.0,47000000.0,1420000000.0,0.21,0.08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.72
S19S_0010-M,-81.839976,31.667835,NaN,NaN,30.0,6.7,30.0,1.0,1.0,2.0,0.0876816239258567,0.15520067729096573,6.538317757009346,-0.9289719626168225,80.58850325989033,-0.7118773073707165,80.58850326000888,-148.5321954073838,0.048012336569783584,0.042603450867541796,1677.328785046729,-3050.0945981683635,1605.0,1.7650644846481358,1.7394080603239783,0.058566978193146414,0.019314641744548288,0.07601246105919003,0.205607476635514,0.1881619937694704,0.03551401869158879,0.3426791277258567,0.03925233644859813,0.03489096573208723,-4.5,-27.8,7.58,20.73,5.5,7.2,84.0,96.7,3.3,0.0,2310000000.0,53500000.0,2260000000.0,0.24,0.08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-3.09
S19S_0010-U,-81.8403,31.667905,NaN,NaN,30.0,6.7,30.0,1.0,1.0,2.0,0.08198455392196381,0.18234595674470283,7.282687338501292,-0.7498708010335917,76.60163487090338,-0.5719871884527131,76.60163487092959,-146.5581247900166,0.05048692897028129,0.04473404454772166,1609.2373643410851,-3028.154646345978,1935.0,1.9753472432013914,1.8485213050616025,0.056330749354005165,0.016020671834625324,0.06976744186046512,0.2987080103359173,0.11679586563307494,0.020671834625323,0.32248062015503876,0.05581395348837209,0.043410852713178294,7.4,-28.57,17.68,15.69,17.5,5.0,64.0,86.5,12.4,1.1,1760000000.0,35000000.0,1720000000.0,0.73,0.11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-21.96
S19S_0011-D,-83.437674,33.955686,NaN,NaN,24.0,6.7,100.0,1.0,1.0,1.0,0.08010892937449039,0.20937507489341875,6.955736750145602,-0.8415841584158416,73.1752406712551,-0.45176283057658706,73.17524067127285,-144.7686655211431,0.05834541896462542,0.051595608031310886,1388.959813628422,-2690.0786085927275,1717.0,1.9326685891601278,1.790907574365836,0.060570762958648806,0.0122306348281887,0.10541642399534071,0.3360512521840419,0.110658124635993,0.009900990099009901,0.27140361094933024,0.07454863133372161,0.0192195690157251,8.9,-28.23,4.67,21.3,28.9,2.4,39.8,71.1,1.3,27.6,303000000.0,67600000.0,235000000.0,2.2,0.21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-240.66
S19S_0011-M,-83.438589,33.957827,NaN,NaN,24.0,6.7,100.0,1.0,1.0,1.0,0.07709461440877598,0.18832386289665126,6.556581986143187,-1.008083140877598,75.35446878688683,-0.5282269749797922,75.35446878684445,-145.7259003659627,0.05720274513379989,0.050723223517204215,1437.0408775981525,-2720.4194991560707,1732.0,1.9238516440325275,1.776772383952838,0.06581986143187067,0.018475750577367205,0.08198614318706697,0.3244803695150115,0.11200923787528869,0.016166281755196306,0.3083140877598152,0.053117782909930716,0.019630484988452657,8.21,-28.54,13.29,14.93,56.1,18.5,3.4,78.0,14.4,7.6,1430000000.0,168000000.0,1260000000.0,0.47,0.08,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-2420.08
S19S_0011-U,-83.437673,33.95569,NaN,NaN,24.0,6.7,100.0,2.0,1.0,1.0,0.08027160542126416,0.196806015044209,7.103032517354768,-0.9839240043843624,73.85985520854805,-0.4757843932791378,73.85985520842877,-145.12087017068146,0.05557578069428077,0.04923960375338417,1458.4552064303984,-2811.015122090622,2737.0,1.8522025946640681,1.8673433330218017,0.061746437705516986,0.021921812203142127,0.09426379247351115,0.31165509682133724,0.11216660577274389,0.013153087321885276,0.28315674095725246,0.07343807088052612,0.028498355864084765,2.31,-27.91,14.3,21.27,59.5,24.5,1.1,85.1,11.3,3.6,756000000.0,109000000.0,647000000.0,0.63,0.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-17.53
S19S_0012-D,-72.33027,42.47179,9.63,105.1,18.2,6.5,4.0,3.0,1.0,1.0,0.07999620480459352,0.191700346184105,7.381334305504922,-1.1965001822821728,73.13871972026797,-0.4504813936897557,73.13871972019555,-144.8737445249107,0.054544118318703885,0.048273336187838176,1506.1255559606273,-2920.2446603628086,2743.0,2.3525118785159433,2.09975651195211,0.08202697776157492,0.028800583302952973,0.0973386802770689,0.2566532993073277,0.0936930368209989,0.015676266861100983,0.2978490703609187,0.08713087860007292,0.04083120670798396,2.78,-35.65,18.5,11.5,6.3,6.9,83.4,96.6,0.0,3.4,143000000.0,27900000.0,115000000.0,0.41,0.09,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.7
S19S_0012-M,-72.33038,42.47157,9.63,105.1,18.2,6.5,5.0,3.0,1.0,1.0,0.09196084200501253,0.23931222515998327,8.11236424394319,-0.7251461988304093,68.84093206633082,-0.2996818268968254,68.84093206636913,-143.1461212614431,0.05812437600920495,0.05113787166121966,1347.6768170426064,-2760.5762915002574,2394.0,1.8812874968787585,1.821968352778494,0.05847953216374269,0.021303258145363407,0.15288220551378445,0.2769423558897243,0.0860484544695071,0.014202172096908938,0.24269005847953215,0.11695906432748537,0.030492898913951544,5.59,-28.52,14.58,13.44,3.0,35.2,54.8,93.0,7.0,0.0,554000000.0,30900000.0,523000000.0,0.51,0.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-5.86
S19S_0012-U,-72.33105,42.47178,9.63,105.1,18.2,6.5,12.0,1.0,1.0,1.0,0.08097209584741785,0.19502005605007822,7.449921752738654,-0.9784820031298904,72.75785019202856,-0.43711755059859164,72.75785019198254,-144.79844512053103,0.05504109908818193,0.0486589414651041,1464.7803990610328,-2862.833586958821,2556.0,1.9580481813153903,1.8467758453474268,0.07746478873239436,0.03051643192488263,0.10837245696400626,0.24608763693270735,0.10172143974960876,0.012519561815336464,0.28912363067292646,0.09389671361502347,0.04029733959311424,9.57,-28.62,10.86,9.45,NaN,NaN,NaN,NaN,NaN,NaN,138000000.0,16800000.0,121000000.0,0.24,0.04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-2.46
S19S_0013-D,-78.1476,38.8952,7.56,85.5,21.1,6.5,9.0,1.0,1.0,1.0,0.0755935757002045,0.20260601694028632,7.136196319018405,-0.8503067484662576,71.92175959486094,-0.4077810384192229,71.92175959486289,-144.23070051188708,0.06003090444544133,0.05298385662721142,1365.5157055214725,-2678.0256755499886,2445.0,1.463021034569671,1.3840223145637371,0.05848670756646217,0.032719836400818,0.08548057259713701,0.35746421267893663,0.08916155419222904,0.011042944785276074,0.26134969325153373,0.07811860940695296,0.026175869120654397,7.31,NaN,18.7,19.0,22.4,10.5,15.0,47.9,52.1,0.0,215000000.0,23100000.0,192000000.0,8.52,0.42,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,-2741.44
S19S_0013-M,-78.1474,38.8945,7.56,85.5,21.1,6.5,7.0,3.0,1.0,1.0,0.07450939533916383,0.1699011986053754,6.421928327645051,-1.151877133105802,75.98429539372141,-0.5503261541651023,75.98429539364639,-146.15821512593666,0.057212628395703666,0.05074289699694169,1454.6722269624574,-2735.418914296433,2344.0,1.4907547366374865,1.4688406820850968,0.06484641638225255,0.04735494880546075,0.06484641638225255,0.3097269624573379,0.11348122866894197,0.013225255972696246,0.3024744027303754,0.05418088737201365,0.029863481228668942,8.27,NaN,17.78,19.78,23.0,4.3,3.0,30.3,69.7,0.0,1030000000.0,34200000.0,993000000.0,10.21,0.53,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-1806.3
S19S_0013-U,-78.1474,38.8944,7.56,85.5,21.1,6.5,3.0,4.0,1.0,1.0,0.07964956488625592,0.18715872453856097,6.679017664799655,-1.003015941404567,73.63306236515898,-0.467826749660922,73.63306236521883,-145.05975587325926,0.05979124236458151,0.05294076018954998,1377.2829383886258,-2652.7016664761395,2321.0,1.614292835699214,1.634621496796032,0.06721240844463593,0.04265402843601896,0.08272296423955192,0.31107281344248167,0.0995260663507109,0.011632916846186989,0.2921154674709177,0.06462731581214994,0.02843601895734597,9.71,NaN,11.67,16.73,26.8,2.5,2.3,31.6,65.4,3.0,870000000.0,240000000.0,630000000.0,9.62,0.56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-1788.7
S19S_0014-D,-77.9808,39.0941,9.6,100.9,18.8,7.5,9.0,3.0,1.0,2.0,0.07915548252865698,0.17922614255517538,6.407185628742515,-1.0059880239520957,74.71835155886613,-0.5059070722365271,74.71835155871376,-145.232592090616,0.05943135258536722,0.05275156713661527,1388.5425577416595,-2636.952415929385,2338.0,1.2438953717250718,1.26750971879623,0.06672369546621043,0.03122326775021386,0.0748502994011976,0.29897348160821213,0.10821214713430283,0.01454234388366125,0.31993156544054746,0.05517536355859709,0.030367835757057315,12.6,-21.9,15.49,14.07,23.9,1.0,0.3,25.2,48.3,26.5,14400000000.0,18300000.0,14400000000.0,6.12,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1482.57
S19S_0014-M,-77.9812,39.0942,9.6,100.9,18.8,7.5,15.0,3.0,1.0,1.0,0.08156230006483381,0.18965982005662704,6.808781288469429,-0.856791136643414,73.61774310655518,-0.4672892318075503,73.61774310645497,-144.74794796987362,0.0592165463814258,0.05249621102659409,1388.7519491177677,-2672.42425073952,2437.0,1.769262586067944,1.4427759430094524,0.06934755847353304,0.03528929011079196,0.07837505129257284,0.3245794009027493,0.09109560935576529,0.009027492819039803,0.3011899876897825,0.05621665982765695,0.03487894952810833,8.22,-21.01,13.89,12.25,34.0,3.1,3.2,40.3,44.2,15.5,368000000.0,54900000.0,313000000.0,5.55,0.24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-2738.74
S19S_0014-U,-77.9815,39.0944,9.6,100.9,18.8,7.5,14.0,3.0,1.0,1.0,0.08636838895636792,0.2123745590664308,7.197327044025157,-0.7260220125786163,71.2606269985161,-0.384583403456761,71.26062699835154,-143.90160194176315,0.06066338469773545,0.053525151552678105,1357.390212264151,-2675.466556530717,2544.0,1.7542075206284784,1.4695129191298508,0.06525157232704402,0.03223270440251572,0.11006289308176101,0.3384433962264151,0.10102201257861636,0.009040880503144654,0.25,0.07783018867924528,0.01611635220125786,10.87,-21.78,11.25,9.79,38.0,2.9,1.1,42.0,32.2,25.8,9840000000.0,1980000000.0,7870000000.0,6.46,0.29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-41.92
S19S_0015-D,-84.439009,31.184396,6.87,88.3,28.2,7.0,222.504,3.0,1.0,1.0,0.07987878285936396,0.17993415264805657,6.291166077738516,-0.7632508833922261,76.71962664891095,-0.5761272508424028,76.71962664893547,-146.1656652939383,0.057332520641135615,0.050939586829673554,1459.88777385159,-2713.3546954477156,1415.0,1.8167635947046517,1.7449639355303344,0.0734982332155477,0.01696113074204947,0.07773851590106007,0.25229681978798585,0.14770318021201415,0.015547703180212015,0.31590106007067137,0.058657243816254416,0.04169611307420495,2.81,-28.66,11.21,26.63,34.5,58.0,1.1,93.6,0.0,6.4,3270000000.0,229000000.0,3040000000.0,0.49,0.09,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-12.16
S19S_0015-M,-84.437802,31.184508,6.87,88.3,28.2,7.0,131.064,3.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7,-26.3,10.93,12.35,4.2,87.6,6.6,98.4,1.6,0.0,1140000000.0,9670000.0,1130000000.0,0.13,0.06,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1.38
S19S_0015-U,-84.437254,31.185895,6.87,88.3,28.2,7.0,94.488,3.0,1.0,1.0,0.09102744505608974,0.19221524355128203,7.008814102564102,-0.6999198717948718,74.64704910341665,-0.5034052316967149,74.64704910332003,-145.24629759233676,0.056035508956274,0.049800935417063284,1472.9579326923076,-2803.960135574987,2496.0,1.4276087373235635,1.403808813571855,0.07692307692307693,0.02844551282051282,0.0921474358974359,0.26642628205128205,0.10296474358974358,0.010016025641025642,0.3112980769230769,0.06330128205128205,0.048477564102564104,1.43,-28.39,10.59,10.74,19.2,75.5,2.7,97.4,2.6,0.0,4240000000.0,47700000.0,4190000000.0,0.17,0.08,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-9.4
