Study_Code,Sample_ID,Total_Bacteria_cells_per_gram,Total_Photorophs_cells_per_gram,Total_Heterotrophs_cells_per_gram
WHONDRS_S19S,S19S_0054_FCS-U,5350000000,9300000,5340000000
WHONDRS_S19S,S19S_0054_FCS-M,10200000000,360000000,9870000000
WHONDRS_S19S,S19S_0054_FCS-D,6980000000,3520000,6980000000
WHONDRS_S19S,S19S_0013_FCS-U,870000000,240000000,630000000
WHONDRS_S19S,S19S_0013_FCS-M,1030000000,34200000,993000000
WHONDRS_S19S,S19S_0013_FCS-D,215000000,23100000,192000000
WHONDRS_S19S,S19S_0025_FCS-U,2560000000,2570000,2560000000
WHONDRS_S19S,S19S_0025_FCS-M,1930000000,166000000,1770000000
WHONDRS_S19S,S19S_0025_FCS-D,1420000000,1120000,1410000000
WHONDRS_S19S,S19S_0007_FCS-U,5740000000,129000000,5610000000
WHONDRS_S19S,S19S_0007_FCS-M,-9999,-9999,-9999
WHONDRS_S19S,S19S_0007_FCS-D,1680000000,86600000,1590000000
WHONDRS_S19S,S19S_0029_FCS-U,413000000,23000000,390000000
WHONDRS_S19S,S19S_0086_FCS-U,-9999,-9999,-9999
WHONDRS_S19S,S19S_0086_FCS-M,228000000,39100000,189000000
WHONDRS_S19S,S19S_0029_FCS-M,-9999,-9999,-9999
WHONDRS_S19S,S19S_0029_FCS-D,610000000,42400000,567000000
WHONDRS_S19S,S19S_0086_FCS-D,-9999,-9999,-9999
WHONDRS_S19S,S19S_0080_FCS-U,967000000,4040000,962000000
WHONDRS_S19S,S19S_0066_FCS-U,-9999,-9999,-9999
WHONDRS_S19S,S19S_0080_FCS-M,106000000,7550000,98800000
WHONDRS_S19S,S19S_0066_FCS-M,-9999,-9999,-9999
WHONDRS_S19S,S19S_0080_FCS-D,880000000,7430000,873000000
WHONDRS_S19S,S19S_0066_FCS-D,-9999,-9999,-9999
WHONDRS_S19S,S19S_0045_FCS-U,2240000000,255000000,1990000000
WHONDRS_S19S,S19S_0045_FCS-M,307000000,43500000,264000000
WHONDRS_S19S,S19S_0045_FCS-D,700000000,90800000,609000000
WHONDRS_S19S,S19S_0065_FCS-U,259000000,517000,258000000
WHONDRS_S19S,S19S_0065_FCS-M,5640000000,5870000,5640000000
WHONDRS_S19S,S19S_0065_FCS-D,324000000,2620000,322000000
WHONDRS_S19S,S19S_0070_FCS-U,388000000,426000,387000000
WHONDRS_S19S,S19S_0070_FCS-M,2870000000,464000,2870000000
WHONDRS_S19S,S19S_0070_FCS-D,452000000,968000,451000000
WHONDRS_S19S,S19S_0083_FCS-U,4290000000,365000000,3920000000
WHONDRS_S19S,S19S_0083_FCS-M,1750000000,24400000,1720000000
WHONDRS_S19S,S19S_0083_FCS-D,616000000,6990000,609000000
WHONDRS_S19S,S19S_0042_FCS-U,2230000000,1040000000,1180000000
WHONDRS_S19S,S19S_0042_FCS-M,1790000000,842000000,953000000
WHONDRS_S19S,S19S_0042_FCS-D,6790000000,2460000000,4330000000
WHONDRS_S19S,S19S_0064_FCS-U,312000000,4730000,308000000
WHONDRS_S19S,S19S_0064_FCS-M,3960000000,249000000,3710000000
WHONDRS_S19S,S19S_0064_FCS-D,3120000000,273000000,2850000000
WHONDRS_S19S,S19S_0055_FCS-U,1950000000,10000000,1940000000
WHONDRS_S19S,S19S_0055_FCS-M,1290000000,65900000,1220000000
WHONDRS_S19S,S19S_0055_FCS-D,4110000000,70700000,4030000000
WHONDRS_S19S,S19S_0004_FCS-U,4140000000,83900000,4060000000
WHONDRS_S19S,S19S_0004_FCS-M,93400000,3860000,89600000
WHONDRS_S19S,S19S_0004_FCS-D,100000000,4900000,95600000
WHONDRS_S19S,S19S_0089_FCS-U,1040000000,29100000,1010000000
WHONDRS_S19S,S19S_0089_FCS-M,3410000000,30100000,3380000000
WHONDRS_S19S,S19S_0089_FCS-D,460000000,35000000,425000000
WHONDRS_S19S,S19S_0028_FCS-U,1300000000,21000000,1270000000
WHONDRS_S19S,S19S_0028_FCS-M,1570000000,41300000,1530000000
WHONDRS_S19S,S19S_0028_FCS-D,1420000000,4500000,1420000000
WHONDRS_S19S,S19S_0032_FCS-U,42200000,3200000,39000000
WHONDRS_S19S,S19S_0032_FCS-M,49500000,972000,48500000
WHONDRS_S19S,S19S_0032_FCS-D,24400000,5320000,19100000
WHONDRS_S19S,S19S_0008_FCS-U,262000000,62200000,199000000
WHONDRS_S19S,S19S_0008_FCS-M,334000000,55700000,278000000
WHONDRS_S19S,S19S_0008_FCS-D,3710000000,47200000,3660000000
WHONDRS_S19S,S19S_0003_FCS-U,49600000,3280000,46300000
WHONDRS_S19S,S19S_0003_FCS-M,79500000,4110000,75400000
WHONDRS_S19S,S19S_0003_FCS-D,55800000,8160000,47700000
WHONDRS_S19S,S19S_0057_FCS-U,407000000,19400000,388000000
WHONDRS_S19S,S19S_0057_FCS-M,369000000,85100000,284000000
WHONDRS_S19S,S19S_0057_FCS-D,521000000,60500000,461000000
WHONDRS_S19S,S19S_0020_FCS-U,7630000000,57600000,7570000000
WHONDRS_S19S,S19S_0020_FCS-M,8190000000,120000000,8070000000
WHONDRS_S19S,S19S_0020_FCS-D,6120000000,83200000,6040000000
WHONDRS_S19S,S19S_0079_FCS-U,310000000,11900000,298000000
WHONDRS_S19S,S19S_0079_FCS-M,764000000,9520000,755000000
WHONDRS_S19S,S19S_0079_FCS-D,1180000000,159000000,1020000000
WHONDRS_S19S,S19S_0019_FCS-U,59700000,5300000,54400000
WHONDRS_S19S,S19S_0019_FCS-M,166000000,11900000,154000000
WHONDRS_S19S,S19S_0019_FCS-D,4410000000,177000000,4230000000
WHONDRS_S19S,S19S_0068_FCS-U,2980000000,177000000,2800000000
WHONDRS_S19S,S19S_0068_FCS-M,4660000000,178000000,4480000000
WHONDRS_S19S,S19S_0084_FCS-U,186000000,17000000,169000000
WHONDRS_S19S,S19S_0027_FCS-U,468000000,8660000,459000000
WHONDRS_S19S,S19S_0027_FCS-M,1450000000,64300000,1390000000
WHONDRS_S19S,S19S_0027_FCS-D,545000000,11500000,534000000
WHONDRS_S19S,S19S_0038_FCS-U,373000000,61700000,311000000
WHONDRS_S19S,S19S_0037_FCS-U,-9999,-9999,-9999
WHONDRS_S19S,S19S_0038_FCS-M,956000000,185000000,770000000
WHONDRS_S19S,S19S_0037_FCS-D,304000000,18500000,285000000
WHONDRS_S19S,S19S_0038_FCS-D,-9999,-9999,-9999
WHONDRS_S19S,S19S_0093_FCS-U,44500000,363000,44100000
WHONDRS_S19S,S19S_0093_FCS-M,379000000,16300000,362000000
WHONDRS_S19S,S19S_0093_FCS-D,753000000,18400000,734000000
WHONDRS_S19S,S19S_0060_FCS-U,231000000,9880000,222000000
WHONDRS_S19S,S19S_0060_FCS-M,1080000000,137000000,940000000
WHONDRS_S19S,S19S_0060_FCS-D,369000000,7850000,362000000
WHONDRS_S19S,S19S_0073_FCS-U,191000000,27700000,163000000
WHONDRS_S19S,S19S_0073_FCS-M,154000000,29000000,125000000
WHONDRS_S19S,S19S_0073_FCS-D,331000000,40600000,290000000
WHONDRS_S19S,S19S_0082_FCS-U,2850000000,182000000,2670000000
WHONDRS_S19S,S19S_0082_FCS-M,797000000,56300000,741000000
WHONDRS_S19S,S19S_0082_FCS-D,1710000000,26200000,1680000000
WHONDRS_S19S,S19S_0081_FCS-U,284000000,16500000,267000000
WHONDRS_S19S,S19S_0052_FCS-U,203000000,23600000,179000000
WHONDRS_S19S,S19S_0052_FCS-M,307000000,39800000,267000000
WHONDRS_S19S,S19S_0052_FCS-D,252000000,28200000,224000000
WHONDRS_S19S,S19S_0072_FCS-U,278000000,80300000,198000000
WHONDRS_S19S,S19S_0072_FCS-M,76700000,26700000,50000000
WHONDRS_S19S,S19S_0072_FCS-D,124000000,30600000,93200000
